"","PC1","PC2","PC3","PC4"
"783_1977",0.0129658766414745,0.0950811787687491,-0.15653145772727,0.0969770000944086
"783_1978",0.0169674584506952,0.106535920674619,-0.165523649174485,0.109975975035923
"783_1979",-0.000597795294758661,0.080711920240379,-0.185678978070029,0.143339979689822
"785_1970",0.00129259517261919,0.0220700846296515,-0.180631939492358,0.074240009692166
"785_1971",-0.00884641253812734,0.0291003722662169,-0.187133027301478,0.0538666775700916
"785_1972",-0.070653863208409,0.107158283140548,-0.25901940428295,0.0910825941907955
"785_1973",-0.0603696108499823,0.107881432900074,-0.269565697359646,0.0795359603280509
"785_1974",-0.0628154530488755,0.137233019658715,-0.235583734101748,0.120118852850355
"785_1975",-0.0501950114019182,-0.00169451718412598,-0.20764103941182,0.0430208093923002
"785_1976",-0.0509683104399886,0.105751633697019,-0.258750204297338,0.111179989161451
"785_1977",-0.0795071190721745,0.0761652389059508,-0.226336266989952,0.0607188433369843
"785_1978",-0.0953095027030866,0.114177651729791,-0.206296256266122,0.107883252542844
"785_1979",-0.0714399102900663,0.140067063979233,-0.254783517633892,0.104197451463817
"789_1970",0.0505934834757534,0.0390259210818771,-0.00344900175842093,-0.0161556989602738
"789_1971",0.0476311662739361,0.0568290064332016,-0.031454096630777,-0.0498206499789713
"789_1972",0.0519924409833265,0.0623322461184491,-0.0020809110639437,-0.055050703851901
"789_1973",0.0523427040854519,0.0720080985696377,-0.00238116395364257,0.0405238824213541
"789_1974",0.0504386232835612,0.0309946363800729,-0.000394744367231671,-0.0265903351934466
"789_1975",0.0502722947537151,0.0366897195394776,0.0130144166636052,-0.0245462228192629
"789_1976",0.0550445212146323,0.0748448283381325,0.0153583347174646,0.00489125467438807
"789_1977",0.0523263036263635,0.0560683816691999,-0.000452974941641116,0.000247765141377044
"789_1978",0.0423350416644446,0.0725049834666833,-0.0669999132774941,0.0690305865463167
"789_1979",0.0503106478294547,0.0811134253150511,-0.0245970624813685,0.024460429318646
"799_1970",0.0223301382574678,0.0207942962977121,-0.132805364695111,0.0714578749816703
"799_1971",0.00974666278354099,-0.0505724452786802,-0.126896581110598,0.00967522615174976
"799_1972",-0.0341778474044436,0.0105971759358999,-0.2352983707399,0.0440345686989414
"799_1973",-0.0426662695810579,0.0416451543015941,-0.251032839353587,0.116222892071544
"799_1974",-0.0277725889128259,0.0332224909327508,-0.236140964267213,0.113702696778725
"799_1975",-0.00987038856334261,0.0146654413674736,-0.212558032393093,0.0824899001878257
"799_1976",-0.028285493135538,0.0436276233674484,-0.235207441826171,0.108723896038225
"799_1977",-0.0308823133035914,0.0159845704975224,-0.223307709616571,0.136482953285738
"799_1978",-0.0431085791598156,0.0589526820314001,-0.256378778589729,0.120380956963794
"799_1979",-0.0441811329012135,0.0576062248130808,-0.257452897803397,0.116155143592241
"803_1970",0.0223833269445684,-0.0781836140745187,-0.0462085096535857,-0.0809585607666741
"803_1971",0.00363159094527292,-0.111429133188686,-0.0754971456867035,-0.0517219992400889
"803_1972",-0.0142687285229001,-0.156149496477344,-0.0627703088873455,-0.137394352976154
"803_1973",-0.00685968258154073,-0.148523227338581,-0.0596892331791835,-0.0616515967276357
"803_1974",0.00597797322721897,-0.112064989232332,-0.0696765851076368,-0.108985376015654
"803_1975",0.0432238677480637,0.00191061420657295,-0.00523103180344705,-0.00208806257911368
"803_1976",-0.00780344392845533,-0.102361338518899,-0.10281903389291,0.00673818009479267
"803_1977",0.0132853183290155,-0.123457058405227,-0.0338150674079085,-0.118786612386992
"803_1978",-0.00227791343299615,-0.125546956124727,-0.0767400483872578,-0.0457876087790636
"803_1979",0.00211553224211292,-0.104925414189266,-0.0830176558561272,-0.0184516986224278
"804_1970",0.0484041787560244,0.00158533808692421,0.0219835404077353,-0.190663943184428
"804_1971",0.0436844179902202,-0.0113104176443934,0.00489199826291169,-0.178989334798673
"804_1972",0.0410743978113401,-0.0213963774602979,0.00443427920446013,-0.218245345221359
"804_1973",0.04560848031918,-0.012117305917675,0.0167980494095807,-0.20242447117199
"804_1974",0.0496599544285261,0.0145906446071084,0.0278494486416606,-0.185172994844385
"804_1975",0.0481680051880845,0.0157359390973886,0.0258887297329027,-0.222829510508465
"804_1976",0.0513440658094768,0.0209459628902254,0.032861191173048,-0.193114591354345
"804_1977",0.0487169272922395,0.0216110536489763,0.0250198778978408,-0.208018916012049
"804_1978",0.0518061497430831,0.0370437506149185,0.0284321928889067,-0.184399125958459
"804_1979",0.0520529080881691,0.0224277684334782,0.0317168269886535,-0.165893908691031
"808_1970",0.0562618567168256,0.0879618961054884,0.108021074532897,0.0110214591515525
"808_1971",0.0528796315565775,0.0889358416693244,0.051940695437946,0.0378099806226883
"808_1972",0.0502912508555081,0.0484878588124127,0.0237507439613259,-0.00913580263679651
"808_1973",0.0193789253441439,-0.0340703362060169,0.0458736955511712,0.136195163983783
"808_1974",0.0558476034154629,0.118221954505637,0.133043220059967,0.0832218062350771
"808_1975",0.0585392638420126,0.108420693706784,0.0965287981178243,0.0801116388871598
"808_1976",0.054409901082367,0.109981118761264,0.0609459003278225,0.0738550241298284
"808_1977",0.0438270193719123,0.0926970045960685,0.0494774557600508,0.0582273725831471
"808_1978",0.0478637535581203,0.0760262064857981,0.0908347971029207,0.0778591949865306
"808_1979",0.0571786140860941,0.090036761459425,0.0767748151885093,0.0611897030205791
"809_1970",0.0606387230962421,0.105304181976043,0.0990560044013776,0.0518957949690332
"809_1971",0.0566111137883867,0.0880078047236002,0.0383950759084782,0.0381981190100663
"809_1972",0.0551112671202697,0.0875251313045544,0.0394605482642148,0.0547090184208647
"809_1973",0.0565336792367483,0.0846809162096006,0.0373750395992971,0.0622986904798223
"809_1974",0.059507036994991,0.0742025974333297,0.0782656498938755,0.00373117555254989
"809_1975",0.0552336514080102,0.0945129651819416,0.0436411548740381,-4.65107542938502e-05
"809_1976",0.0604258766632378,0.0988922358857695,0.079849583887164,0.000860379375822634
"809_1977",0.0604351825017224,0.106148961936504,0.0926249938280349,0.0457136439672337
"809_1978",0.0587936639617784,0.114220585172744,0.0615747367923172,0.0494673976683933
"809_1979",0.0589774481930375,0.112602713218747,0.0676009809649246,0.0566951617045049
"813_1970",0.0475439121514262,-0.0127500755536963,0.0386933620865205,-0.103637491952613
"813_1971",0.045587674844613,-0.00470841776679673,0.0299928209558664,-0.0657149999759142
"813_1972",0.0419088504394497,0.0088533906264017,-0.0224790546868393,-0.00258662566522265
"813_1973",0.0500752626063791,0.0218933870861766,0.0183729908861919,-0.0463342567881878
"813_1974",0.0555412337316425,0.066039877552345,0.0385215136218338,0.0132984979889309
